id_hcn,site,date_int_ref,DATE_INIT_ASSESS,OUTCOME_CATEGORY_DESC
14810c,e,2019-04-07,2019-04-25,d
9046c,f,2016-02-04,2016-02-15,i
8591,j,2017-12-02,2017-12-14,h
3519,b,2014-08-18,2014-08-31,i
1171c,e,2021-04-16,2021-04-20,c
4790c,a,2013-06-13,2013-06-14,b
12702c,h,2020-05-24,2020-06-04,e
9690,f,2019-11-23,2019-11-28,g
12203c,j,2013-08-14,2013-09-02,c
11630c,e,2015-12-14,2015-12-19,e
9282,d,2012-10-21,2012-11-04,h
8882,a,2011-10-31,2011-11-08,c
2045,i,2020-04-30,2020-05-16,f
1502,h,2020-11-09,2020-11-15,e
3209,g,2017-10-05,2017-10-08,c
3845,g,2018-02-12,2018-02-14,b
6009,j,2013-01-06,2013-01-10,e
6319c,g,2021-12-30,2022-01-09,g
1995,h,2020-11-26,2020-12-05,d
4121,a,2013-02-05,2013-02-24,c
3851,a,2014-02-16,2014-02-22,j
14800c,e,2014-10-24,2014-11-03,c
3022c,h,2019-10-09,2019-10-13,d
910c,i,2010-12-31,2011-01-05,b
8938,g,2013-06-28,2013-07-11,h
1450c,e,2018-11-25,2018-12-07,c
6397c,b,2016-11-06,2016-11-07,f
9317,a,2017-07-14,2017-07-31,j
2709c,e,2022-07-31,2022-08-09,j
5388c,e,2021-08-25,2021-09-10,b
4009,e,2021-01-10,2021-01-19,j
8661,g,2016-04-20,2016-04-27,f
7693c,f,2016-08-20,2016-08-25,j
3103c,h,2016-11-19,2016-11-26,j
1804,e,2021-11-09,2021-11-16,e
1256c,j,2015-12-20,2015-12-29,f
10171c,i,2012-02-14,2012-02-17,h
2176,i,2021-07-17,2021-07-24,e
14274c,c,2013-05-11,2013-05-16,f
5449,g,2014-08-24,2014-09-04,a
11686c,b,2011-05-01,2011-05-20,h
413c,a,2020-09-27,2020-10-01,d
1342,i,2011-11-28,2011-12-15,d
2714c,a,2012-05-25,2012-05-29,d
8017,g,2012-09-21,2012-09-26,h
1136c,e,2014-07-23,2014-07-27,h
8033,d,2019-08-07,2019-08-11,c
10495c,d,2012-07-07,2012-07-25,j
2460c,e,2011-05-08,2011-05-25,d
5376,f,2010-03-29,2010-04-15,i
14558c,g,2020-04-26,2020-05-14,h
2792c,c,2021-10-16,2021-11-04,h
3353c,a,2019-11-28,2019-12-14,b
8642c,f,2016-08-15,2016-08-21,b
14355c,e,2019-12-03,2019-12-19,j
5850,a,2018-07-24,2018-07-29,j
329c,j,2011-12-13,2011-12-17,e
4021c,j,2016-06-02,2016-06-19,h
9562,e,2019-02-02,2019-02-13,b
6978,g,2013-08-05,2013-08-06,d
4974c,e,2021-09-18,2021-10-07,f
8044,d,2015-10-19,2015-10-26,i
3431c,i,2013-11-10,2013-11-24,d
5734c,a,2014-01-25,2014-02-08,e
7,i,2014-08-02,2014-08-13,f
9939c,i,2018-06-15,2018-06-25,e
13938c,a,2021-07-27,2021-08-07,e
11033c,h,2017-03-09,2017-03-11,d
3829,a,2022-03-13,2022-03-19,e
6855,i,2015-11-26,2015-12-15,c
2169c,c,2015-05-08,2015-05-18,e
6894,a,2012-08-30,2012-09-02,c
7412,e,2010-08-18,2010-08-24,a
11642c,h,2013-05-15,2013-05-31,g
3031,b,2010-03-28,2010-04-10,f
10481c,j,2022-07-16,2022-07-23,f
9422c,c,2017-10-08,2017-10-17,h
6840,e,2015-03-27,2015-04-02,e
5125c,j,2019-04-09,2019-04-28,i
1175c,e,2010-08-27,2010-09-10,e
3570,g,2016-08-08,2016-08-20,j
3293c,d,2022-04-19,2022-04-29,f
4222c,h,2011-02-13,2011-02-20,c
2788c,g,2019-08-29,2019-09-15,b
1133,j,2014-09-24,2014-10-14,i
6664,a,2020-03-22,2020-03-31,h
10926c,h,2012-09-11,2012-09-24,d
5845c,b,2020-06-25,2020-07-05,e
4815,c,2016-11-08,2016-11-13,d
14031c,f,2016-08-08,2016-08-09,e
474,d,2019-09-02,2019-09-08,f
3200,d,2013-02-01,2013-02-13,e
3276,h,2016-09-23,2016-10-04,d
7492c,a,2018-08-01,2018-08-06,h
2415,e,2021-01-06,2021-01-13,i
4612c,e,2019-09-06,2019-09-11,j
7120,g,2021-10-16,2021-11-01,g
5932,d,2014-10-25,2014-11-04,d
14140c,h,2011-01-25,2011-02-10,f
9261c,a,2013-03-28,2013-04-10,g
8441c,g,2022-03-04,2022-03-09,c
3636,j,2011-09-21,2011-10-11,h
5272c,c,2020-04-25,2020-05-06,b
7800,g,2014-07-06,2014-07-14,c
9167,i,2016-12-15,2017-01-03,a
143c,e,2020-12-09,2020-12-23,e
4709,a,2021-06-28,2021-07-04,i
3236c,j,2022-08-30,2022-09-11,f
13574c,c,2020-05-08,2020-05-23,j
5773,b,2020-09-21,2020-09-27,i
2646c,a,2010-07-20,2010-08-04,d
8363,a,2018-06-02,2018-06-10,c
9130,g,2010-02-02,2010-02-11,c
7031,b,2012-10-04,2012-10-17,d
810,b,2017-12-21,2017-12-29,b
10466c,j,2013-07-29,2013-08-08,d
1544,f,2012-07-30,2012-08-07,g
153,i,2012-08-19,2012-09-07,a
7832,g,2017-09-30,2017-10-02,e
7735c,c,2018-04-10,2018-04-29,b
6089,h,2020-06-14,2020-06-30,a
1022,f,2019-03-24,2019-03-29,c
5748c,j,2013-02-15,2013-02-16,f
287,g,2010-02-28,2010-03-12,f
13181c,d,2011-10-09,2011-10-21,d
7427,j,2010-08-21,2010-08-26,i
1092c,d,2021-05-30,2021-06-09,b
9497,g,2019-06-08,2019-06-27,i
6911c,c,2017-02-14,2017-02-21,b
7641c,d,2019-08-08,2019-08-27,h
6979,g,2013-03-07,2013-03-08,f
4461c,c,2018-08-17,2018-08-20,b
10792c,b,2021-08-16,2021-08-19,g
3986c,c,2010-02-01,2010-02-02,f
7733c,e,2011-06-04,2011-06-09,j
8763,j,2014-03-16,2014-03-21,j
138,h,2020-09-12,2020-10-01,c
14380c,g,2017-10-26,2017-11-07,j
10009c,f,2016-11-10,2016-11-27,g
299,g,2012-11-30,2012-12-11,g
3007,g,2011-01-05,2011-01-07,c
6117,b,2011-08-09,2011-08-25,i
3397c,c,2017-06-29,2017-07-04,c
818c,a,2011-11-29,2011-12-05,j
7968c,i,2022-04-09,2022-04-12,b
6601,h,2013-04-22,2013-04-26,h
3361c,b,2016-01-24,2016-02-08,h
6447c,b,2011-11-01,2011-11-17,a
10115c,e,2022-05-16,2022-05-22,c
4060c,a,2012-12-27,2013-01-09,f
11894c,f,2015-01-11,2015-01-17,g
9977,e,2015-04-10,2015-04-20,g
2297,g,2017-09-12,2017-09-14,a
421c,d,2014-07-01,2014-07-10,h
4390,i,2019-04-10,2019-04-14,i
8731,a,2018-08-15,2018-08-19,c
3497,j,2011-04-29,2011-05-01,c
6619c,b,2020-09-03,2020-09-14,j
3600c,a,2013-03-13,2013-03-15,f
2432,h,2020-12-16,2021-01-03,j
763,g,2017-06-18,2017-06-26,a
8640c,f,2016-12-14,2016-12-27,e
4868,c,2011-02-18,2011-03-02,e
6505c,b,2018-04-25,2018-05-05,h
9761,a,2010-03-30,2010-03-31,j
8578,d,2016-06-08,2016-06-18,g
7873c,d,2013-10-29,2013-10-31,e
179c,e,2020-05-12,2020-05-20,i
1574,i,2011-02-11,2011-02-26,a
7647,h,2012-11-29,2012-12-13,a
11834c,a,2019-07-11,2019-07-22,c
1147c,e,2013-05-13,2013-05-20,i
8462c,c,2012-12-24,2013-01-11,j
6631,d,2019-12-27,2020-01-04,d
3422,e,2010-09-13,2010-09-17,j
1926,a,2012-12-30,2013-01-12,h
660,f,2015-04-27,2015-05-11,e
3293c,d,2013-01-10,2013-01-18,b
6207,g,2021-11-09,2021-11-26,a
6493c,d,2021-06-29,2021-07-18,c
6164c,d,2011-03-26,2011-04-05,h
7723c,h,2014-12-19,2015-01-06,d
4078,a,2018-05-30,2018-06-13,e
1476,e,2018-06-01,2018-06-10,j
12902c,d,2015-01-25,2015-02-05,a
9569,b,2014-06-26,2014-07-12,i
58c,h,2015-07-23,2015-08-10,a
253c,d,2017-12-22,2017-12-23,e
4443,j,2011-03-01,2011-03-13,h
11138c,i,2012-08-06,2012-08-12,j
9370c,f,2021-11-19,2021-11-20,i
9241c,h,2020-12-16,2020-12-28,b
2462c,i,2012-06-14,2012-06-26,f
9202c,d,2013-01-27,2013-02-03,d
13119c,a,2015-07-19,2015-07-27,f
7774c,i,2012-06-14,2012-06-21,g
7037,a,2010-07-28,2010-08-08,e
3673,a,2016-06-07,2016-06-10,e
10374c,g,2014-09-01,2014-09-16,j
3405c,h,2019-01-25,2019-02-06,b
4467c,i,2014-08-27,2014-09-08,a
3642c,h,2016-06-05,2016-06-24,a
5320,g,2016-11-02,2016-11-17,e
12886c,c,2010-02-22,2010-03-01,f
14731c,c,2010-10-08,2010-10-28,e
5809c,i,2013-12-12,2013-12-19,g
37,e,2021-07-29,2021-07-30,i
5072,f,2021-03-01,2021-03-07,j
1707c,f,2013-12-07,2013-12-13,j
2930,j,2011-12-28,2012-01-03,j
13920c,g,2019-06-09,2019-06-22,b
9519,h,2016-10-27,2016-10-28,c
8213c,i,2021-05-21,2021-05-28,h
9984,e,2021-03-20,2021-03-30,i
2460,i,2022-02-09,2022-02-16,c
7113c,e,2022-06-17,2022-06-26,d
13396c,a,2019-09-13,2019-09-17,g
6946c,i,2018-06-10,2018-06-27,d
11815c,b,2017-05-24,2017-06-13,c
7073,d,2022-10-06,2022-10-17,e
4673c,c,2019-03-25,2019-04-09,e
7310,f,2020-06-11,2020-06-21,h
9164c,i,2015-07-03,2015-07-13,d
4298,a,2018-03-22,2018-04-06,a
5875,d,2011-10-05,2011-10-18,h
9259,f,2015-10-18,2015-10-26,j
7400c,e,2019-04-15,2019-04-16,e
2888c,e,2022-12-26,2022-12-28,h
3520,e,2014-07-24,2014-08-11,a
4856,i,2020-10-11,2020-10-29,b
1793,e,2016-08-28,2016-09-01,j
8367,g,2015-04-13,2015-04-16,e
502,f,2013-08-12,2013-08-23,h
4080,d,2013-04-13,2013-04-16,g
10305c,b,2011-07-11,2011-07-14,d
9063,e,2010-01-11,2010-01-16,g
6440,e,2013-10-16,2013-11-02,h
7490c,f,2019-01-10,2019-01-23,c
8079,e,2022-09-21,2022-10-04,e
2086c,g,2020-04-21,2020-05-10,h
8428,d,2014-12-21,2014-12-28,c
7740,d,2015-10-12,2015-10-27,e
8235c,d,2022-08-13,2022-08-25,f
7606c,b,2021-12-01,2021-12-14,e
10639c,b,2020-05-20,2020-05-31,h
816,b,2021-10-08,2021-10-11,b
11292c,d,2010-03-29,2010-04-03,j
5689c,b,2011-02-11,2011-03-03,d
6931c,d,2015-07-03,2015-07-18,f
3805,d,2016-09-30,2016-10-02,d
7456,j,2015-07-02,2015-07-10,f
9532,g,2019-12-22,2020-01-04,d
8310c,e,2013-10-15,2013-10-28,b
7178,f,2022-02-14,2022-02-17,a
8619c,e,2014-02-08,2014-02-25,d
11033c,e,2013-10-23,2013-11-09,h
14433c,c,2016-05-25,2016-06-14,g
8259c,e,2022-05-30,2022-06-01,c
6535,e,2020-05-14,2020-05-25,j
9140,h,2012-01-01,2012-01-05,i
3004,e,2020-08-04,2020-08-17,j
9544,f,2012-01-25,2012-01-28,f
8060c,a,2017-08-19,2017-08-27,g
7455,f,2020-12-27,2020-12-29,e
9844c,h,2022-03-27,2022-04-07,c
14381c,b,2017-11-07,2017-11-09,i
7052,e,2016-01-13,2016-02-01,b
7861c,a,2013-01-03,2013-01-13,a
1978c,g,2014-07-01,2014-07-05,j
7045,h,2013-02-28,2013-03-10,g
7375c,b,2012-09-16,2012-09-28,a
8926c,d,2014-12-09,2014-12-22,e
4276,c,2018-07-12,2018-07-24,c
2806c,f,2018-04-01,2018-04-04,d
6992,b,2016-04-11,2016-05-01,a
10391c,h,2017-02-08,2017-02-25,c
9110,g,2017-05-10,2017-05-18,b
3677,g,2021-06-21,2021-07-07,c
6722c,g,2014-04-23,2014-04-29,i
738,h,2021-09-14,2021-09-19,f
5981c,h,2018-09-03,2018-09-16,j
2317,f,2010-03-15,2010-03-21,b
1612,c,2018-08-22,2018-08-28,a
573,c,2021-06-09,2021-06-20,j
7411c,c,2015-08-17,2015-09-06,b
6633,j,2020-12-30,2021-01-18,b
2425c,a,2020-12-31,2021-01-04,i
4517,c,2011-02-01,2011-02-17,e
4038,c,2019-02-06,2019-02-23,j
3918,i,2010-01-25,2010-02-10,a
7372,h,2016-12-02,2016-12-22,f
5846c,i,2011-03-03,2011-03-16,b
10849c,f,2010-10-12,2010-10-19,g
4860,b,2010-12-17,2010-12-21,d
6066c,g,2018-04-29,2018-05-01,d
14284c,f,2022-11-07,2022-11-19,f
8196,c,2021-06-20,2021-07-09,j
9272c,g,2015-10-01,2015-10-14,h
7722,d,2019-08-05,2019-08-07,d
10554c,c,2013-07-28,2013-07-29,i
2101,g,2012-02-29,2012-03-02,g
4570,c,2013-08-26,2013-09-15,d
11301c,a,2015-01-15,2015-02-04,c
12556c,h,2012-10-10,2012-10-13,f
4550,i,2017-01-18,2017-01-20,g
5874c,c,2022-03-06,2022-03-10,a
8389c,j,2013-12-21,2014-01-02,d
7051,c,2010-11-02,2010-11-12,e
6098,g,2014-10-15,2014-11-01,j
13106c,c,2012-02-06,2012-02-09,c
5619,g,2011-05-19,2011-06-08,f
6890c,d,2020-12-15,2020-12-18,a
5944c,i,2022-10-02,2022-10-10,f
13991c,e,2022-02-28,2022-03-02,c
14792c,h,2017-04-18,2017-04-25,j
8076,g,2022-03-08,2022-03-13,a
9046c,i,2022-08-24,2022-09-01,d
5741c,h,2014-03-07,2014-03-19,e
12217c,a,2019-03-11,2019-03-23,i
8453c,f,2020-10-20,2020-11-03,d
2108,a,2012-02-22,2012-03-06,d
6094,c,2019-05-20,2019-06-04,i
10920c,g,2010-09-05,2010-09-21,e
4475,h,2010-01-28,2010-02-11,g
3358,d,2019-07-16,2019-07-20,b
9632c,c,2013-07-29,2013-08-06,d
9621c,i,2010-01-12,2010-01-30,b
335,j,2010-10-30,2010-11-01,f
11262c,f,2018-10-16,2018-10-25,a
1605,g,2017-06-08,2017-06-10,h
23,f,2021-04-07,2021-04-15,d
10988c,h,2022-07-01,2022-07-13,g
2599c,b,2016-02-03,2016-02-07,d
14032c,a,2021-09-09,2021-09-21,a
5528c,j,2010-11-24,2010-11-25,g
10478c,b,2011-08-14,2011-08-15,h
4666,j,2020-09-22,2020-10-10,h
10669c,j,2011-10-23,2011-11-04,b
8838c,e,2012-04-28,2012-05-12,a
9025c,h,2020-06-03,2020-06-16,c
876,f,2021-08-27,2021-09-12,b
2217,d,2015-06-15,2015-06-16,a
2289,a,2016-10-26,2016-10-28,e
8355,a,2011-10-25,2011-10-30,b
14550c,g,2015-01-20,2015-01-27,f
8008c,g,2013-06-05,2013-06-08,i
6985,j,2011-12-03,2011-12-08,f
6736c,d,2019-05-22,2019-06-06,e
2511c,f,2017-06-11,2017-06-30,j
12542c,g,2015-09-06,2015-09-08,c
8248,e,2021-07-21,2021-07-25,i
2892c,i,2011-02-05,2011-02-21,b
799c,b,2021-02-20,2021-02-23,a
2759c,d,2019-03-06,2019-03-07,g
11870c,f,2021-05-14,2021-05-28,j
1053c,b,2019-05-03,2019-05-15,h
9059,e,2014-04-27,2014-05-06,a
7277,a,2022-06-14,2022-06-25,i
253,b,2010-09-14,2010-09-18,j
7466,j,2010-06-10,2010-06-27,e
5231,g,2022-06-01,2022-06-13,g
5065c,b,2012-12-09,2012-12-22,g
3737,g,2012-08-17,2012-09-01,h
3643c,g,2012-01-21,2012-02-09,j
13457c,j,2010-04-13,2010-05-01,d
6368,c,2011-01-28,2011-02-05,c
9837,i,2013-11-17,2013-11-30,f
12415c,a,2019-06-01,2019-06-16,h
6002,e,2016-11-08,2016-11-27,j
9295c,e,2011-05-25,2011-06-10,e
9401c,e,2022-01-07,2022-01-13,d
7144,i,2010-09-04,2010-09-07,e
5733c,e,2020-05-30,2020-06-12,i
4156c,h,2015-04-01,2015-04-17,b
2898c,d,2011-12-01,2011-12-10,c
2181c,h,2010-01-02,2010-01-03,e
7012,f,2017-02-19,2017-03-11,d
9082,j,2021-08-22,2021-08-27,i
9903,i,2010-05-23,2010-06-10,a
2477,b,2014-11-05,2014-11-17,c
13866c,a,2020-04-13,2020-04-14,c
7271,c,2019-01-28,2019-02-06,c
11622c,e,2021-07-02,2021-07-04,j
13804c,a,2019-08-17,2019-08-29,g
6617c,f,2021-07-16,2021-07-20,f
3005c,b,2018-08-28,2018-09-01,e
1063c,i,2021-12-27,2022-01-11,i
1694,h,2021-02-10,2021-03-02,j
6884,d,2020-10-06,2020-10-22,c
13184c,d,2016-08-05,2016-08-17,d
10107c,c,2020-11-26,2020-11-29,a
9287c,c,2010-04-26,2010-05-14,g
3297,h,2010-05-23,2010-06-08,d
7111c,j,2019-01-31,2019-02-08,a
12657c,d,2010-05-09,2010-05-24,h
2874c,h,2018-06-03,2018-06-21,g
11525c,g,2016-01-29,2016-02-03,b
6211c,f,2012-08-07,2012-08-10,e
3863c,c,2013-10-02,2013-10-12,a
514c,c,2010-03-19,2010-04-07,e
12445c,j,2011-01-19,2011-01-26,j
5028c,f,2014-11-30,2014-12-04,b
357c,h,2019-02-20,2019-02-28,f
681,i,2020-01-01,2020-01-20,i
2488,f,2019-10-18,2019-11-02,f
8183,e,2010-03-26,2010-03-28,e
2256c,i,2019-08-25,2019-09-04,d
9418,i,2020-08-10,2020-08-27,g
1580c,i,2010-11-11,2010-11-17,d
8310,f,2022-07-11,2022-07-15,b
13297c,d,2011-08-20,2011-08-24,b
7929,b,2014-05-30,2014-06-09,a
8247c,i,2021-07-24,2021-08-06,j
3753c,b,2010-12-14,2010-12-28,j
4399c,h,2013-10-15,2013-10-26,a
6751,d,2022-02-27,2022-03-14,h
12981c,i,2019-02-12,2019-02-19,b
1488c,i,2010-07-26,2010-08-07,e
2529c,f,2022-09-19,2022-09-23,b
4521,j,2022-11-02,2022-11-16,f
2288c,d,2017-06-04,2017-06-11,i
7761c,f,2015-08-23,2015-09-03,g
4746c,h,2017-06-10,2017-06-23,i
8918c,e,2015-11-11,2015-11-17,i
9302,i,2015-05-31,2015-06-15,i
318,h,2010-01-29,2010-02-02,f
9740c,j,2021-03-19,2021-03-25,c
11299c,g,2022-05-30,2022-06-18,h
4762,j,2014-01-24,2014-01-27,h
9611c,a,2017-09-10,2017-09-20,g
94,a,2014-07-28,2014-08-11,b
3307,g,2015-04-06,2015-04-19,g
9007,f,2010-03-14,2010-03-29,g
3130c,a,2018-03-12,2018-03-20,b
2602c,i,2018-11-28,2018-12-11,b
12319c,j,2011-02-17,2011-03-04,j
1396,g,2011-12-11,2011-12-23,i
9517c,f,2013-10-24,2013-10-26,g
3537c,b,2012-08-29,2012-09-04,d
4052c,f,2013-03-19,2013-04-02,i
6889c,i,2019-02-28,2019-03-08,a
7358c,f,2011-07-28,2011-07-31,g
6201c,f,2021-03-17,2021-03-19,f
4987c,i,2021-09-23,2021-10-10,b
4519,f,2020-12-21,2020-12-26,b
3973,f,2012-12-03,2012-12-15,a
6411,j,2012-06-25,2012-07-15,h
4939,j,2019-12-07,2019-12-25,i
5317,j,2011-11-03,2011-11-23,d
2409,h,2015-07-13,2015-07-27,e
5158c,f,2013-02-19,2013-03-05,b
2443c,d,2021-03-11,2021-03-17,a
9155,a,2021-12-31,2022-01-11,i
9789c,c,2021-02-28,2021-03-05,c
3847c,a,2010-09-04,2010-09-22,a
3221c,a,2014-07-08,2014-07-23,a
8482,g,2018-11-22,2018-11-28,h
4431,d,2017-05-23,2017-06-03,c
10947c,c,2013-05-02,2013-05-05,i
355,c,2019-06-01,2019-06-19,g
11286c,d,2015-02-14,2015-02-25,j
3875c,c,2020-05-20,2020-05-26,h
9728,h,2019-07-25,2019-08-06,a
6259c,g,2022-11-23,2022-12-09,e
6467,d,2011-10-29,2011-11-06,g
13872c,h,2011-01-05,2011-01-18,c
8741,h,2014-04-20,2014-05-05,g
14376c,a,2020-05-30,2020-05-31,h
10488c,i,2014-02-22,2014-03-04,c
10226c,b,2017-07-08,2017-07-24,f
3858c,a,2014-02-03,2014-02-19,i
1722,j,2019-07-22,2019-07-26,e
3415,i,2019-04-01,2019-04-08,g
7900c,f,2016-04-26,2016-04-27,g
5705,e,2020-04-06,2020-04-19,f
8111,h,2020-10-16,2020-10-29,f
5901,h,2018-05-14,2018-05-24,a
4946,i,2019-02-01,2019-02-05,i
3522c,j,2016-12-31,2017-01-10,a
5154c,c,2015-12-21,2015-12-29,c
1836,i,2019-09-07,2019-09-08,f
8592,i,2020-06-13,2020-06-29,h
1131,j,2018-02-01,2018-02-12,e
7163,d,2022-10-18,2022-10-28,g
3003,a,2016-01-29,2016-02-01,j
7228c,i,2022-02-12,2022-02-28,f
5442,a,2017-04-23,2017-05-11,j
3554c,b,2011-02-07,2011-02-24,i
3380c,j,2010-12-26,2011-01-11,h
6318c,a,2013-09-05,2013-09-12,i
6864c,i,2010-11-17,2010-12-02,h
6567c,h,2020-07-21,2020-07-31,f
1903,c,2010-08-08,2010-08-11,d
2894c,g,2021-05-21,2021-06-10,h
12063c,j,2010-03-06,2010-03-07,b
2283c,c,2012-08-25,2012-09-06,a
3372,h,2021-11-29,2021-12-16,h
14600c,h,2019-09-29,2019-10-16,b
10030c,g,2015-09-11,2015-09-24,j
498,h,2012-07-21,2012-08-03,d
8867c,h,2013-05-08,2013-05-21,e
1467,a,2011-08-31,2011-09-09,b
11183c,g,2011-10-06,2011-10-13,i
6493c,a,2021-09-13,2021-10-03,i
3760,c,2012-08-03,2012-08-19,a
8206c,e,2018-02-15,2018-03-07,d
11823c,a,2018-09-05,2018-09-11,h
6924c,b,2018-05-19,2018-06-06,h
103c,i,2015-05-21,2015-06-01,a
4403,f,2014-10-07,2014-10-19,f
8267,h,2010-11-06,2010-11-08,e
4577c,f,2013-02-12,2013-03-02,i
11918c,b,2020-12-31,2021-01-04,d
5409,c,2016-10-31,2016-11-01,h
2545c,b,2022-03-26,2022-03-28,c
9369c,e,2012-07-17,2012-07-25,g
5337,e,2012-03-24,2012-03-27,c
7305c,h,2016-01-21,2016-02-10,i
3899c,h,2015-04-26,2015-05-08,j
5079c,e,2013-12-02,2013-12-13,e
14581c,h,2010-09-14,2010-10-04,d
12019c,h,2013-07-23,2013-08-04,c
4052,c,2018-03-14,2018-03-18,c
11423c,c,2018-05-31,2018-06-10,i
3306,a,2018-08-02,2018-08-18,b
6069c,h,2022-11-02,2022-11-06,f
11907c,g,2018-12-15,2018-12-29,c
6495,c,2014-04-10,2014-04-20,h
8241c,g,2017-07-12,2017-07-19,h
5875,c,2010-03-20,2010-03-29,a
3671,d,2015-08-13,2015-09-01,h
12760c,b,2011-10-03,2011-10-19,d
1783,f,2011-02-17,2011-03-01,j
6257,h,2020-12-02,2020-12-18,f
731c,h,2014-10-07,2014-10-21,j
5055c,f,2011-09-13,2011-09-25,i
2471c,c,2012-12-27,2012-12-31,a
9695,g,2015-09-07,2015-09-18,g
5391c,c,2022-09-22,2022-09-26,g
1422,i,2020-07-25,2020-08-03,g
3592c,c,2019-05-18,2019-06-06,g
9245,i,2011-02-25,2011-03-10,b
10922c,j,2015-08-11,2015-08-23,f
12838c,g,2010-03-06,2010-03-14,e
11707c,f,2015-01-25,2015-02-04,i
11734c,h,2013-04-10,2013-04-28,d
4136c,f,2019-01-04,2019-01-05,g
3746c,h,2020-04-29,2020-05-01,g
6711c,b,2019-10-21,2019-10-25,e
8238,f,2016-11-15,2016-11-20,e
4104c,g,2014-09-01,2014-09-11,f
1017,g,2019-06-07,2019-06-08,f
14255c,g,2018-09-06,2018-09-13,i
12534c,i,2018-07-17,2018-07-19,a
7964c,d,2019-07-18,2019-07-22,d
3064,j,2019-11-27,2019-12-17,i
9331c,j,2014-05-01,2014-05-03,b
5958c,j,2020-07-29,2020-08-06,d
595c,g,2018-11-13,2018-12-02,j
1545c,c,2017-03-20,2017-03-21,e
4177c,i,2019-09-21,2019-10-10,e
7971,b,2021-11-15,2021-12-02,j
9613c,e,2014-11-30,2014-12-10,g
5386,i,2013-06-11,2013-06-26,f
9738c,e,2019-12-29,2020-01-18,f
6097c,f,2012-12-01,2012-12-21,h
1997,e,2017-02-19,2017-03-09,h
9273c,a,2022-02-15,2022-02-21,b
14715c,a,2012-12-02,2012-12-19,j
2185c,a,2012-02-04,2012-02-20,d
1849,e,2012-03-26,2012-03-27,a
14821c,b,2019-05-09,2019-05-22,b
1472,e,2021-11-07,2021-11-27,i
1924c,a,2010-02-01,2010-02-15,b
7774c,h,2014-08-21,2014-08-24,c
4235,e,2021-04-12,2021-04-24,c
7847,i,2022-07-09,2022-07-14,c
48,a,2013-10-05,2013-10-11,d
9206,f,2021-11-04,2021-11-12,c
3936c,h,2012-08-23,2012-09-09,h
3689,c,2017-11-16,2017-11-18,g
8497c,d,2018-06-11,2018-06-22,h
6985,b,2010-10-02,2010-10-13,a
7088,d,2014-05-30,2014-06-14,d
13966c,c,2021-01-26,2021-02-04,a
9676,b,2017-04-17,2017-04-24,h
6024c,c,2021-07-21,2021-07-30,h
7678,g,2012-09-22,2012-10-07,i
8889c,h,2021-02-20,2021-03-11,e
2285,e,2010-03-04,2010-03-22,d
10767c,h,2014-05-05,2014-05-25,h
6392c,e,2021-01-02,2021-01-07,f
6616c,d,2014-12-24,2015-01-01,h
11920c,h,2015-09-22,2015-09-25,i
5508c,c,2017-11-10,2017-11-14,d
8461,i,2014-01-21,2014-02-06,f
811,h,2010-05-20,2010-06-08,b
3445,g,2021-02-15,2021-03-04,e
12679c,h,2021-09-15,2021-09-26,d
722c,d,2019-10-03,2019-10-07,e
7120c,a,2012-03-06,2012-03-13,d
8708c,f,2019-11-18,2019-11-22,f
1802c,e,2021-12-05,2021-12-14,g
5325c,j,2018-08-01,2018-08-19,a
1999,i,2019-10-20,2019-10-26,d
4792c,a,2015-01-29,2015-02-08,d
6167,i,2017-07-17,2017-07-22,d
3965,a,2021-05-06,2021-05-26,j
5092c,e,2010-10-26,2010-11-08,h
7422c,c,2015-10-17,2015-11-04,j
9467c,c,2017-07-24,2017-08-12,d
10548c,f,2018-05-10,2018-05-30,d
10390c,j,2010-04-16,2010-05-03,j
6365c,d,2017-12-19,2017-12-27,c
9989,e,2021-03-01,2021-03-16,d
8140,a,2019-10-02,2019-10-14,a
4714c,d,2011-09-12,2011-09-25,e
9006c,c,2013-04-17,2013-04-23,f
6383,d,2019-08-06,2019-08-07,g
10224c,j,2011-10-02,2011-10-05,b
9635c,e,2011-08-26,2011-09-12,a
11816c,b,2020-05-29,2020-06-16,i
4137,a,2021-04-04,2021-04-05,g
4201,d,2010-02-10,2010-02-16,i
4878c,j,2021-03-12,2021-03-26,b
155,j,2015-12-13,2015-12-20,e
1427c,c,2012-12-04,2012-12-24,d
5987c,i,2012-01-07,2012-01-21,h
2736c,c,2010-09-17,2010-09-18,a
7717c,e,2018-04-13,2018-04-27,e
4107c,a,2014-02-27,2014-03-02,i
12963c,i,2021-07-24,2021-08-02,j
7873c,h,2010-12-18,2011-01-02,c
685,f,2014-10-16,2014-10-26,i
7047c,i,2022-11-16,2022-12-02,j
2532,j,2011-05-18,2011-06-07,i
9623c,g,2010-02-23,2010-03-14,d
4528c,b,2014-12-06,2014-12-22,g
9536c,j,2022-12-28,2023-01-14,g
4298,b,2012-07-24,2012-08-06,j
4938c,h,2016-12-02,2016-12-09,e
6895c,h,2012-02-09,2012-02-18,j
1715,i,2016-01-03,2016-01-04,h
2969c,e,2011-10-10,2011-10-17,a
14316c,c,2022-06-25,2022-07-13,c
12153c,j,2020-03-13,2020-03-29,e
5588c,b,2015-12-08,2015-12-13,d
7323c,h,2018-10-27,2018-11-06,j
